t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
new,laevissimus,modoc_east,chromaiodes,0.187428031137728,0.177830557944996,0.196197103759098,0.528618970837378,0.519230881424132,0.538893690579084,0.283952998024893,0.275497034463491,0.29299907238568,4628
new,laevissimus,modoc_east,modoc_west,0.961332244763661,0.952463061265544,0.974503235631641,0.0275523708605345,0.0175021607605877,0.0341400172860847,0.0111153843758047,0.00648228316384684,0.0149092448337846,4628
new,laevissimus,modoc_east,pennsylvanicus,0.42321112056621,0.409680207433016,0.434312971977738,0.40110379389561,0.391529818496111,0.412489196197061,0.17568508553818,0.16745898173271,0.184961106309421,4628
new,laevissimus,modoc_east,novaeboracensis,0.911542535110096,0.899740903141941,0.92761452031115,0.0556820291416425,0.0432152117545376,0.0648228176318064,0.0327754357482615,0.0267934312878133,0.0378133184557732,4628
new,laevissimus,chromaiodes,modoc_west,0.188533758506532,0.179991318065834,0.196629213483146,0.287320723704744,0.27895419187554,0.29580812445981,0.524145517788724,0.514693171996543,0.533491673834988,4628
new,laevissimus,chromaiodes,pennsylvanicus,0.697439282627485,0.689930855661193,0.705056179775281,0.137665424229329,0.13180639585134,0.143474503025065,0.164895293143187,0.158167675021608,0.171564390665514,4628
new,laevissimus,chromaiodes,novaeboracensis,0.206683437410628,0.197925669835782,0.21542783059637,0.284145619897383,0.27571305099395,0.29256698357822,0.509170942691988,0.499351771823682,0.519446845289542,4628
new,laevissimus,modoc_west,pennsylvanicus,0.42669307169269,0.418323159394304,0.435393258426966,0.392694868284928,0.384183232497839,0.401253327842119,0.180612060022382,0.173076885679152,0.188202247191011,4628
new,laevissimus,modoc_west,chromaiodes,0.18791977163645,0.179991318065834,0.195980985306828,0.524353256007835,0.515125324114088,0.533491673834988,0.287726972355714,0.279602420051858,0.29580812445981,4628
new,laevissimus,modoc_west,novaeboracensis,0.924084560705516,0.915082108902334,0.932152318961175,0.0396437680008418,0.0339239485574651,0.0462402765773552,0.0362716712936422,0.0319792636083111,0.0412705272255834,4628
new,laevissimus,pennsylvanicus,chromaiodes,0.697036300777874,0.689930855661193,0.70419187554019,0.165230715211755,0.159031979256698,0.171564390665514,0.137732984010372,0.132022471910112,0.143474503025065,4628
new,laevissimus,pennsylvanicus,novaeboracensis,0.452013686409015,0.44209161624892,0.463915298184961,0.172303593287405,0.163785652549697,0.181071776376788,0.37568272030358,0.366032843560933,0.384831460674157,4628
new,laevissimus,pennsylvanicus,modoc_west,0.42748593000215,0.418755401901469,0.436257562662057,0.180049300984914,0.17286084701815,0.187337902476685,0.392464769012936,0.383967073472975,0.401037165082109,4628
new,laevissimus,novaeboracensis,pennsylvanicus,0.452918485306828,0.443388072601556,0.462402765773552,0.375404656439067,0.366681071737252,0.384183232497839,0.171676858254106,0.164433880726016,0.178910976663786,4628
new,laevissimus,novaeboracensis,modoc_west,0.923400757892797,0.914866032843561,0.932800345721694,0.0357765385589648,0.0306828003457217,0.0414866032843561,0.0408227035482381,0.0345721694036301,0.0462402865687741,4628
new,herculeanus,modoc_east,laevissimus,0.0187561929726023,0.0149092480553155,0.0231201382886776,0.0263572711208437,0.0185825370392098,0.0380293863439931,0.954886535906554,0.941011235955056,0.963699222126188,4628
new,herculeanus,modoc_east,chromaiodes,0.0246171132247918,0.0194468452895419,0.0296024200518583,0.0362540379301116,0.0278738055588147,0.0445116681071737,0.939128848845097,0.92761452031115,0.95051837715679,4628
